	canvas	id	label	entityId	creator	title
828	https://github.com/n1kg0r/ds-project-dhdk/Canvas_430	https://dl.ficlit.unibo.it/iiif/2/28429/canvas/p159	BO0451_CAM6537_0159_tavola recto.jpg	entity-160		
837	https://github.com/n1kg0r/ds-project-dhdk/Canvas_402	https://dl.ficlit.unibo.it/iiif/2/28429/canvas/p131	BO0451_CAM6537_0131_tavola recto.jpg	entity-132		
846	https://github.com/n1kg0r/ds-project-dhdk/Canvas_311	https://dl.ficlit.unibo.it/iiif/2/28429/canvas/p40	BO0451_CAM6537_0040_p.XXXII.jpg	entity-41		
855	https://github.com/n1kg0r/ds-project-dhdk/Canvas_473	https://dl.ficlit.unibo.it/iiif/2/28429/canvas/p202	BO0451_CAM6537_0202_p.110.jpg	entity-203		
864	https://github.com/n1kg0r/ds-project-dhdk/Canvas_426	https://dl.ficlit.unibo.it/iiif/2/28429/canvas/p155	BO0451_CAM6537_0155_p.75.jpg	entity-156		
873	https://github.com/n1kg0r/ds-project-dhdk/Canvas_364	https://dl.ficlit.unibo.it/iiif/2/28429/canvas/p93	BO0451_CAM6537_0093_p.31.jpg	entity-94		
882	https://github.com/n1kg0r/ds-project-dhdk/Canvas_455	https://dl.ficlit.unibo.it/iiif/2/28429/canvas/p184	BO0451_CAM6537_0184_p.96.jpg	entity-185		
891	https://github.com/n1kg0r/ds-project-dhdk/Canvas_440	https://dl.ficlit.unibo.it/iiif/2/28429/canvas/p169	BO0451_CAM6537_0169_tavola recto.jpg	entity-170		
900	https://github.com/n1kg0r/ds-project-dhdk/Canvas_302	https://dl.ficlit.unibo.it/iiif/2/28429/canvas/p31	BO0451_CAM6537_0031_p.XXVII.jpg	entity-32		
909	https://github.com/n1kg0r/ds-project-dhdk/Canvas_302	https://dl.ficlit.unibo.it/iiif/2/28429/canvas/p31	colori	entity-32		
918	https://github.com/n1kg0r/ds-project-dhdk/Canvas_302	https://dl.ficlit.unibo.it/iiif/2/19425/canvas/p15	BO0451_CAM6537_0031_p.XXVII.jpg	entity-273		
927	https://github.com/n1kg0r/ds-project-dhdk/Canvas_302	https://dl.ficlit.unibo.it/iiif/2/19425/canvas/p15	colori	entity-273		
936	https://github.com/n1kg0r/ds-project-dhdk/Canvas_322	https://dl.ficlit.unibo.it/iiif/2/28429/canvas/p51	BO0451_CAM6537_0051_np.jpg	entity-52		
945	https://github.com/n1kg0r/ds-project-dhdk/Canvas_416	https://dl.ficlit.unibo.it/iiif/2/28429/canvas/p145	BO0451_CAM6537_0145_np.jpg	entity-146		
954	https://github.com/n1kg0r/ds-project-dhdk/Canvas_400	https://dl.ficlit.unibo.it/iiif/2/28429/canvas/p129	BO0451_CAM6537_0129_np.jpg	entity-130		
963	https://github.com/n1kg0r/ds-project-dhdk/Canvas_419	https://dl.ficlit.unibo.it/iiif/2/28429/canvas/p148	BO0451_CAM6537_0148_tavola verso.jpg	entity-149		
972	https://github.com/n1kg0r/ds-project-dhdk/Canvas_433	https://dl.ficlit.unibo.it/iiif/2/28429/canvas/p162	BO0451_CAM6537_0162_p.78.jpg	entity-163		
981	https://github.com/n1kg0r/ds-project-dhdk/Canvas_305	https://dl.ficlit.unibo.it/iiif/2/28429/canvas/p34	BO0451_CAM6537_0034_p.XXX.jpg	entity-35		
990	https://github.com/n1kg0r/ds-project-dhdk/Canvas_447	https://dl.ficlit.unibo.it/iiif/2/28429/canvas/p176	BO0451_CAM6537_0176_p.88.jpg	entity-177		
999	https://github.com/n1kg0r/ds-project-dhdk/Canvas_510	https://dl.ficlit.unibo.it/iiif/2/28429/canvas/p239	BO0451_CAM6537_0239_metro e colore.jpg	entity-240		
1008	https://github.com/n1kg0r/ds-project-dhdk/Canvas_333	https://dl.ficlit.unibo.it/iiif/2/28429/canvas/p62	BO0451_CAM6537_0062_p.8.jpg	entity-63		
1017	https://github.com/n1kg0r/ds-project-dhdk/Canvas_292	https://dl.ficlit.unibo.it/iiif/2/28429/canvas/p21	BO0451_CAM6537_0021_p.XVII.jpg	entity-22		
1026	https://github.com/n1kg0r/ds-project-dhdk/Canvas_292	https://dl.ficlit.unibo.it/iiif/2/28429/canvas/p21	c2r	entity-22		
1035	https://github.com/n1kg0r/ds-project-dhdk/Canvas_292	https://dl.ficlit.unibo.it/iiif/2/19425/canvas/p5	BO0451_CAM6537_0021_p.XVII.jpg	entity-263		
1044	https://github.com/n1kg0r/ds-project-dhdk/Canvas_292	https://dl.ficlit.unibo.it/iiif/2/19425/canvas/p5	c2r	entity-263		
1053	https://github.com/n1kg0r/ds-project-dhdk/Canvas_469	https://dl.ficlit.unibo.it/iiif/2/28429/canvas/p198	BO0451_CAM6537_0198_p.106.jpg	entity-199		
1062	https://github.com/n1kg0r/ds-project-dhdk/Canvas_377	https://dl.ficlit.unibo.it/iiif/2/28429/canvas/p106	BO0451_CAM6537_0106_p.44.jpg	entity-107		
1071	https://github.com/n1kg0r/ds-project-dhdk/Canvas_295	https://dl.ficlit.unibo.it/iiif/2/28429/canvas/p24	BO0451_CAM6537_0024_p.XX.jpg	entity-25		
1080	https://github.com/n1kg0r/ds-project-dhdk/Canvas_295	https://dl.ficlit.unibo.it/iiif/2/28429/canvas/p24	c3v	entity-25		
1089	https://github.com/n1kg0r/ds-project-dhdk/Canvas_295	https://dl.ficlit.unibo.it/iiif/2/19425/canvas/p8	BO0451_CAM6537_0024_p.XX.jpg	entity-266		
1098	https://github.com/n1kg0r/ds-project-dhdk/Canvas_295	https://dl.ficlit.unibo.it/iiif/2/19425/canvas/p8	c3v	entity-266		
1107	https://github.com/n1kg0r/ds-project-dhdk/Canvas_324	https://dl.ficlit.unibo.it/iiif/2/28429/canvas/p53	BO0451_CAM6537_0053_tavola recto.jpg	entity-54		
1116	https://github.com/n1kg0r/ds-project-dhdk/Canvas_350	https://dl.ficlit.unibo.it/iiif/2/28429/canvas/p79	BO0451_CAM6537_0079_p.21.jpg	entity-80		
1125	https://github.com/n1kg0r/ds-project-dhdk/Canvas_363	https://dl.ficlit.unibo.it/iiif/2/28429/canvas/p92	BO0451_CAM6537_0092_p.30.jpg	entity-93		
1134	https://github.com/n1kg0r/ds-project-dhdk/Canvas_278	https://dl.ficlit.unibo.it/iiif/2/28429/canvas/p7	BO0451_CAM6537_0007_p.[III].jpg	entity-8		
